iter	Logloss
0	0.6596347847
5	0.5277723262
10	0.4408477878
15	0.3826484117
20	0.3434624089
25	0.3171248308
30	0.2981125373
35	0.2849783316
40	0.275516597
45	0.2685645203
50	0.2633676988
55	0.2595127998
60	0.2566060845
65	0.2544800508
70	0.2526418146
75	0.2512274862
80	0.2500956679
85	0.2491060731
90	0.2483558306
95	0.2476933485
100	0.2470933482
105	0.2466241866
110	0.2461123278
115	0.2457041555
120	0.2453503511
125	0.2450267159
130	0.2447070661
135	0.2444041205
140	0.2441080662
145	0.2438316218
150	0.243566467
155	0.2433696055
160	0.2431716484
165	0.2429344715
170	0.2427325131
175	0.2425443689
180	0.2423652279
185	0.2421777347
190	0.2419975139
195	0.2418319172
200	0.2416597627
205	0.241519651
210	0.2413745534
215	0.2412268358
220	0.2410935042
225	0.2409604743
230	0.2407849376
235	0.2406216433
240	0.2405009827
245	0.2403704933
250	0.2402561841
255	0.2400867448
260	0.2399513172
265	0.2398318951
270	0.2397157281
275	0.2396225056
280	0.2395160244
285	0.23941102
290	0.2393063808
295	0.239205346
300	0.2390863685
305	0.2389587214
310	0.2388455713
315	0.2387344696
320	0.2386261624
325	0.2385037393
330	0.2384176621
335	0.2383027018
340	0.2382053667
345	0.2381144624
350	0.238011935
355	0.237901913
360	0.2378071026
365	0.2376896971
370	0.2375975066
375	0.2375345166
380	0.2374622219
385	0.2373725879
390	0.2372685997
395	0.2371763457
400	0.2370992874
405	0.2370026827
410	0.2369258626
415	0.2368554415
420	0.2367847505
425	0.2367141865
430	0.2366212021
435	0.2365420479
440	0.2364671491
445	0.2363816593
450	0.2362898817
455	0.2362156815
460	0.2361306681
465	0.2360606122
470	0.2359840144
475	0.2359029706
480	0.2358192434
485	0.2357543798
490	0.2356755431
495	0.2355952615
500	0.2355361618
505	0.2354372388
510	0.2353695489
515	0.235303939
520	0.2352389324
525	0.2351670029
530	0.2350857686
535	0.2350255256
540	0.2349615512
545	0.2349047062
550	0.2348377149
555	0.2347703425
560	0.234703891
565	0.2346365504
570	0.2345681776
575	0.2345076012
580	0.2344352747
585	0.2343832092
590	0.2343316041
595	0.2342615006
600	0.2342060212
605	0.2341626412
610	0.2341015725
615	0.2340440448
620	0.2339709085
625	0.2339128091
630	0.2338479931
635	0.2337858765
640	0.2337194091
645	0.2336356819
650	0.2335661659
655	0.2335112263
660	0.2334406782
665	0.2333760211
670	0.2333184615
675	0.2332709055
680	0.2332155213
685	0.2331527696
690	0.2331003071
695	0.2330460185
700	0.2329903485
705	0.2329246116
710	0.2328722285
715	0.2328280863
720	0.2327722576
725	0.2327159525
730	0.2326607747
735	0.232600897
740	0.2325397489
745	0.232492304
750	0.2324224228
755	0.2323574639
760	0.2323060812
765	0.2322593825
770	0.2321994889
775	0.2321413101
780	0.2320935
785	0.232039799
790	0.2319737127
795	0.2319182174
800	0.2318680573
805	0.2318094974
810	0.2317574319
815	0.2317049217
820	0.2316656543
825	0.2316166533
830	0.2315570295
835	0.2315000258
840	0.2314509613
845	0.231400166
850	0.2313377477
855	0.2312848723
860	0.2312264395
865	0.2311587336
870	0.2311097803
875	0.2310538563
880	0.2310026323
885	0.230953409
890	0.2309001525
895	0.2308549624
900	0.2308252061
905	0.2307835092
910	0.2307419076
915	0.2306860312
920	0.2306458427
925	0.2306048445
930	0.2305584793
935	0.2305134479
940	0.2304661459
945	0.2304200189
950	0.2303744477
955	0.2303290829
960	0.2302785575
965	0.230227016
970	0.2301856843
975	0.2301386522
980	0.23008249
985	0.2300359343
990	0.2299827731
995	0.2299355505
1000	0.2298931232
1005	0.2298567773
1010	0.229813048
1015	0.2297700173
1020	0.2297231281
1025	0.2296907995
1030	0.2296464192
1035	0.2296037061
1040	0.2295566581
1045	0.2295180893
1050	0.2294660555
1055	0.2294227072
1060	0.2293607017
1065	0.229306572
1070	0.2292597463
1075	0.2292115234
1080	0.2291727958
1085	0.2291232231
1090	0.2290713799
1095	0.2290284445
1100	0.2289861601
1105	0.2289360158
1110	0.2288878722
1115	0.22883198
1120	0.2287970949
1125	0.2287574146
1130	0.2287170515
1135	0.2286739573
1140	0.2286268935
1145	0.2285686353
1150	0.2285205235
1155	0.2284812878
1160	0.2284346685
1165	0.2283888115
1170	0.2283338719
1175	0.228291397
1180	0.2282435551
1185	0.228194443
1190	0.2281529684
1195	0.2281025224
1200	0.2280632549
1205	0.2280240827
1210	0.2279794959
1215	0.2279371798
1220	0.2278909575
1225	0.2278330487
1230	0.2277882396
1235	0.2277417156
1240	0.2277064495
1245	0.2276454603
1250	0.2275976343
1255	0.2275609391
1260	0.2275172256
1265	0.2274806098
1270	0.2274444545
1275	0.227396962
1280	0.2273408157
1285	0.2273196655
1290	0.2272687909
1295	0.2272223463
1300	0.227173901
1305	0.2271308862
