Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2018-06-29 00:00:00-04:00,23.563698896298536,23.57302757326332,23.395786269458796,23.51705551147461,298200,0.0,0.0,0.0
2018-07-02 00:00:00-04:00,23.610340501859262,23.610340501859262,23.507728613773025,23.51705551147461,3200,0.0,0.0,0.0
2018-07-03 00:00:00-04:00,23.647652535946587,23.647652535946587,23.6047420501709,23.6047420501709,6800,0.0,0.0,0.0
2018-07-05 00:00:00-04:00,23.50773024639917,23.785717010498047,23.50773024639917,23.785717010498047,2300,0.0,0.0,0.0
2018-07-06 00:00:00-04:00,23.964824676513672,23.964824676513672,23.964824676513672,23.964824676513672,100,0.0,0.0,0.0
2018-07-09 00:00:00-04:00,24.431249489814135,24.431249489814135,23.943370118152913,23.946168899536133,11100,0.0,0.0,0.0
2018-07-10 00:00:00-04:00,24.073034830345062,24.206431542924445,24.01146697998047,24.01146697998047,18700,0.0,0.0,0.0
2018-07-11 00:00:00-04:00,24.543188458362195,24.543188458362195,23.91818129479742,23.99187660217285,18500,0.0,0.0,0.0
2018-07-12 00:00:00-04:00,23.974155139464663,23.974155139464663,23.880870136033142,23.88833236694336,2500,0.0,0.0,0.0
2018-07-13 00:00:00-04:00,23.824899673461914,23.843555250602606,23.74560679837608,23.824899673461914,900,0.0,0.0,0.0
2018-07-16 00:00:00-04:00,23.880866356624875,23.880866356624875,23.72228240966797,23.72228240966797,12300,0.0,0.0,0.0
2018-07-17 00:00:00-04:00,24.132733394822818,24.132733394822818,23.606607096488307,23.61033821105957,900,0.0,0.0,0.0
2018-07-18 00:00:00-04:00,23.50306382532015,23.656984329223633,23.479743022103534,23.656984329223633,9000,0.0,0.0,0.0
2018-07-19 00:00:00-04:00,23.73161092096103,23.73161092096103,23.712953567504883,23.712953567504883,800,0.0,0.0,0.0
2018-07-20 00:00:00-04:00,23.597283939662123,23.597283939662123,23.59168815612793,23.59168815612793,6300,0.0,0.0,0.0
2018-07-23 00:00:00-04:00,23.69429681527913,23.69429681527913,23.311829956038927,23.51705551147461,16700,0.0,0.0,0.0
2018-07-24 00:00:00-04:00,23.880869496477683,23.880869496477683,23.3211612701416,23.3211612701416,14200,0.0,0.0,0.0
2018-07-25 00:00:00-04:00,23.554370880126953,23.554370880126953,23.554370880126953,23.554370880126953,4800,0.0,0.0,0.0
2018-07-26 00:00:00-04:00,23.554370880126953,23.554370880126953,23.554370880126953,23.554370880126953,100,0.0,0.0,0.0
2018-07-27 00:00:00-04:00,23.838891983032227,23.838891983032227,23.838891983032227,23.838891983032227,100,0.0,0.0,0.0
2018-07-30 00:00:00-04:00,23.245601654052734,23.245601654052734,23.245601654052734,23.245601654052734,500,0.0,0.0,0.0
2018-07-31 00:00:00-04:00,23.675635212310148,23.675635212310148,23.667240650032646,23.67283821105957,2400,0.0,0.0,0.0
2018-08-01 00:00:00-04:00,23.67283821105957,23.67283821105957,23.67283821105957,23.67283821105957,0,0.0,0.0,0.0
2018-08-02 00:00:00-04:00,24.123404813984717,24.123404813984717,23.718549523564793,23.9200439453125,2100,0.0,0.0,0.0
2018-08-03 00:00:00-04:00,23.880863893272732,23.927505493164062,23.880863893272732,23.927505493164062,700,0.0,0.0,0.0
2018-08-06 00:00:00-04:00,24.100086212158203,24.100086212158203,24.100086212158203,24.100086212158203,600,0.0,0.0,0.0
2018-08-07 00:00:00-04:00,24.179382160879676,24.179382160879676,24.170053482055664,24.170053482055664,2600,0.0,0.0,0.0
2018-08-08 00:00:00-04:00,24.188708537415145,24.263336181640625,24.188708537415145,24.263336181640625,5100,0.0,0.0,0.0
2018-08-09 00:00:00-04:00,24.264270782470703,24.264270782470703,24.264270782470703,24.264270782470703,500,0.0,0.0,0.0
