Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-10 00:00:00-05:00,23.639115417440404,25.001522064208984,23.639115417440404,25.001522064208984,1105,0.0,0.0
2015-11-11 00:00:00-05:00,25.001522064208984,25.001522064208984,25.001522064208984,25.001522064208984,0,0.0,0.0
2015-11-12 00:00:00-05:00,25.001522064208984,25.001522064208984,25.001522064208984,25.001522064208984,0,0.0,0.0
2015-11-13 00:00:00-05:00,25.001522064208984,25.001522064208984,25.001522064208984,25.001522064208984,0,0.0,0.0
2015-11-16 00:00:00-05:00,24.18047332763672,24.18047332763672,24.18047332763672,24.18047332763672,301,0.0,0.0
2015-11-17 00:00:00-05:00,24.18047332763672,24.18047332763672,24.18047332763672,24.18047332763672,0,0.0,0.0
2015-11-18 00:00:00-05:00,24.18047332763672,24.18047332763672,24.18047332763672,24.18047332763672,0,0.0,0.0
2015-11-19 00:00:00-05:00,25.2631778717041,25.2631778717041,25.2631778717041,25.2631778717041,1005,0.0,0.0
2015-11-20 00:00:00-05:00,25.2631778717041,25.2631778717041,25.2631778717041,25.2631778717041,0,0.0,0.0
2015-11-23 00:00:00-05:00,25.2631778717041,25.2631778717041,25.2631778717041,25.2631778717041,0,0.0,0.0
2015-11-24 00:00:00-05:00,25.2631778717041,25.2631778717041,25.2631778717041,25.2631778717041,0,0.0,0.0
2015-11-25 00:00:00-05:00,26.445132121638885,27.27520751953125,26.445132121638885,27.27520751953125,301,0.0,0.0
2015-11-27 00:00:00-05:00,27.27520751953125,27.27520751953125,27.27520751953125,27.27520751953125,0,0.0,0.0
2015-11-30 00:00:00-05:00,27.27520751953125,27.27520751953125,27.27520751953125,27.27520751953125,0,0.0,0.0
2015-12-01 00:00:00-05:00,26.616555825130302,30.730845600903407,26.616555825130302,29.95490264892578,24723,0.0,0.0
2015-12-02 00:00:00-05:00,30.07219959886216,32.05716122529282,30.07219959886216,31.7684383392334,35275,0.0,0.0
2015-12-03 00:00:00-05:00,32.94137094409673,32.94137094409673,30.559415011626644,30.59550666809082,9346,0.0,0.0
2015-12-04 00:00:00-05:00,30.586487671931852,31.118820678330817,30.586487671931852,30.667692184448242,7638,0.0,0.0
2015-12-07 00:00:00-05:00,30.442130284403554,31.353408528682642,30.442130284403554,31.109798431396484,20301,0.0,0.0
2015-12-08 00:00:00-05:00,31.0646817883993,31.76844151543869,29.774455045653156,29.783479690551758,9748,0.0,0.0
2015-12-09 00:00:00-05:00,29.106786687947448,29.251146414439493,28.87219953811516,28.962425231933594,12562,0.0,0.0
2015-12-10 00:00:00-05:00,28.754906108946322,28.754906108946322,27.96994363006695,28.15941619873047,15376,0.0,0.0
2015-12-11 00:00:00-05:00,26.842127451854523,27.888746013526966,26.842127451854523,27.13987159729004,30552,0.0,0.0
2015-12-14 00:00:00-05:00,27.067688302908348,27.50979387160443,25.308288943714118,25.506784439086914,75174,0.0,0.0
2015-12-15 00:00:00-05:00,26.17445489212984,26.97746326795709,26.16543197631836,26.16543197631836,23718,0.0,0.0
2015-12-16 00:00:00-05:00,26.219568407898084,27.317614224960593,26.219568407898084,27.112802505493164,15477,0.0,0.0
2015-12-17 00:00:00-05:00,28.15039716682456,28.339869749983592,27.50077144606763,27.753402709960938,33165,0.0,0.0
2015-12-18 00:00:00-05:00,27.77144834085326,27.997012585386436,27.41054554960018,27.581974029541016,44421,0.0,0.0
2015-12-21 00:00:00-05:00,27.618064226326272,28.622276529294858,27.57295310651102,28.042125701904297,12361,0.0,0.0
2015-12-22 00:00:00-05:00,28.060171161421707,28.73686216298546,27.96994546394362,28.204532623291016,12261,0.0,0.0
2015-12-23 00:00:00-05:00,27.59551057666046,28.051149680419268,27.266187109926886,27.428592681884766,8241,0.0,0.0
2015-12-24 00:00:00-05:00,26.977466063719724,27.708294647837107,26.977466063719724,27.572956085205078,3618,0.0,0.0
2015-12-28 00:00:00-05:00,27.374453060605305,27.93385129710709,27.166934666818175,27.28422737121582,5125,0.0,0.0
2015-12-29 00:00:00-05:00,27.166934249603386,27.749791709842185,27.166934249603386,27.518814086914062,5527,0.0,0.0
2015-12-30 00:00:00-05:00,27.480017456157615,28.141370988236293,26.589490192283083,27.518814086914062,15778,0.0,0.0
2015-12-31 00:00:00-05:00,27.076708561599535,27.9140028770944,26.607536021692532,27.518814086914062,17386,0.0,0.0
2016-01-04 00:00:00-05:00,27.058666561096615,27.06768947707812,26.264681086119378,26.58047103881836,10251,0.0,0.0
2016-01-05 00:00:00-05:00,27.284228834020983,27.418664564971948,26.797913241489827,27.157913208007812,36883,0.0,0.0
2016-01-06 00:00:00-05:00,26.90528317377726,27.257163051284355,26.363928983913453,27.076711654663086,8342,0.0,0.0
2016-01-07 00:00:00-05:00,26.688744765962515,27.18047383788315,26.436111745318094,26.82408332824707,30150,0.0,0.0
2016-01-08 00:00:00-05:00,26.905285202255143,27.42859360010201,26.264682350048105,26.787992477416992,27939,0.0,0.0
2016-01-11 00:00:00-05:00,26.910696624785515,26.910696624785515,26.25565750044779,26.499267578125,12864,0.0,0.0
2016-01-12 00:00:00-05:00,26.553407185492926,27.121828476296656,26.553407185492926,26.959421157836914,14070,0.0,0.0
2016-01-13 00:00:00-05:00,26.959410752533007,27.383472124841656,25.353396128564995,25.939861297607422,18592,0.0,0.0
