Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2016-11-07 00:00:00-05:00,22.93324615566032,23.043813003892947,22.93324615566032,23.0253849029541,62300,0.0,0.0,0.0
2016-11-08 00:00:00-05:00,24.886580316727727,24.886580316727727,23.04381244513649,23.218875885009766,20300,0.0,0.0,0.0
2016-11-09 00:00:00-05:00,23.145169002453745,23.430797576904297,23.145169002453745,23.430797576904297,18600,0.0,0.0,0.0
2016-11-10 00:00:00-05:00,23.578218969550132,23.578218969550132,23.476866157428674,23.541362762451172,19000,0.0,0.0,0.0
2016-11-11 00:00:00-05:00,23.532149842060715,23.6795711517334,23.532149842060715,23.6795711517334,18400,0.0,0.0,0.0
2016-11-14 00:00:00-05:00,23.882271515118457,23.900699615478516,23.804875602486664,23.900699615478516,20100,0.0,0.0,0.0
2016-11-15 00:00:00-05:00,23.91913004517645,24.066553115844727,23.91913004517645,24.066553115844727,20400,0.0,0.0,0.0
2016-11-16 00:00:00-05:00,24.01126701478121,24.029695116915633,23.965198516845703,23.965198516845703,18400,0.0,0.0,0.0
2016-11-17 00:00:00-05:00,24.076687776379757,24.167903900146484,24.057338795132228,24.167903900146484,12400,0.0,0.0,0.0
2016-11-18 00:00:00-05:00,24.21397259827348,24.21397259827348,24.158688291927714,24.17711639404297,12500,0.0,0.0,0.0
2016-11-21 00:00:00-05:00,24.24161062662624,24.287680877415188,24.218576379931953,24.26925277709961,14400,0.0,0.0,0.0
2016-11-22 00:00:00-05:00,24.47195730552627,24.49959945678711,24.43510286124558,24.49959945678711,13100,0.0,0.0,0.0
2016-11-23 00:00:00-05:00,24.49959945678711,24.5364539010678,24.47103642770437,24.49959945678711,15300,0.0,0.0,0.0
2016-11-25 00:00:00-05:00,24.64702033996582,24.64702033996582,24.64702033996582,24.64702033996582,10000,0.0,0.0,0.0
2016-11-28 00:00:00-05:00,24.59173925883157,24.59173925883157,24.49960050807549,24.52724266052246,13500,0.0,0.0,0.0
2016-11-29 00:00:00-05:00,24.536451893424353,24.628590632687665,24.526316966011443,24.600950241088867,12800,0.0,0.0,0.0
2016-11-30 00:00:00-05:00,25.826395712798774,25.826395712798774,24.416677474975586,24.416677474975586,9800,0.0,0.0,0.0
2016-12-01 00:00:00-05:00,24.47195948209934,24.48854407137073,24.398248829581593,24.424047470092773,8500,0.0,0.0,0.0
2016-12-02 00:00:00-05:00,24.55488285967927,24.55488285967927,24.44431776557442,24.47195816040039,8600,0.0,0.0,0.0
2016-12-05 00:00:00-05:00,24.582523345947266,24.591737396064982,24.52724080264134,24.582523345947266,8700,0.0,0.0,0.0
2016-12-06 00:00:00-05:00,24.591738145820916,24.665448791609574,24.56133160376538,24.656234741210938,9400,0.0,0.0,0.0
2016-12-07 00:00:00-05:00,24.748372279692596,25.11692549064476,24.737314716793847,25.09849739074707,10800,0.0,0.0,0.0
2016-12-08 00:00:00-05:00,25.430198336494584,25.430198336494584,25.098499539539283,25.20906639099121,7300,0.0,0.0,0.0
2016-12-09 00:00:00-05:00,25.236706831501493,25.26434898376465,25.227492780747106,25.26434898376465,6500,0.0,0.0,0.0
2016-12-12 00:00:00-05:00,25.23670678580383,25.273562988754634,25.15286120871138,25.20906639099121,9800,0.0,0.0,0.0
2016-12-13 00:00:00-05:00,25.384127317363802,25.384127317363802,25.227491974347092,25.347272872924805,8900,0.0,0.0,0.0
2016-12-14 00:00:00-05:00,25.273565370435218,25.338061974276545,25.09850190472258,25.11693000793457,10700,0.0,0.0,0.0
2016-12-15 00:00:00-05:00,25.29199144176195,25.307653395093194,25.218280792236328,25.218280792236328,5500,0.0,0.0,0.0
2016-12-16 00:00:00-05:00,25.273566975705574,25.273566975705574,25.163000106811523,25.163000106811523,5700,0.0,0.0,0.0
2016-12-19 00:00:00-05:00,25.227489322855348,25.2735595703125,25.191555760018943,25.2735595703125,9200,0.0,0.0,0.0
2016-12-20 00:00:00-05:00,25.319627965222057,25.402552652933068,25.319627965222057,25.37491226196289,16700,0.0,0.0,0.0
2016-12-21 00:00:00-05:00,25.42098326806277,25.42098326806277,25.338058572143723,25.34266471862793,7200,0.0,0.0,0.0
2016-12-22 00:00:00-05:00,25.245924819131872,25.26435292351434,25.153786054620287,25.163000106811523,7000,0.0,0.0,0.0
2016-12-23 00:00:00-05:00,25.19985284612738,25.19985284612738,25.172210693359375,25.172210693359375,4100,0.0,0.0,0.0
2016-12-27 00:00:00-05:00,25.27264095078016,25.31041627245006,25.2459196776473,25.28277587890625,11100,0.0,0.0,0.0
2016-12-28 00:00:00-05:00,25.24493277962839,25.24493277962839,25.060325622558594,25.060325622558594,4700,0.049,0.0,0.0
2016-12-29 00:00:00-05:00,25.106478292098206,25.106478292098206,25.004944179655386,25.060325622558594,3800,0.0,0.0,0.0
2016-12-30 00:00:00-05:00,25.04186532382535,25.04186532382535,24.894180297851562,24.894180297851562,4100,0.0,0.0,0.0
2017-01-03 00:00:00-05:00,25.0695540728842,25.0695540728842,24.89694680029488,25.02340316772461,6700,0.0,0.0,0.0
2017-01-04 00:00:00-05:00,25.115704740942608,25.281850814819336,25.115704740942608,25.281850814819336,5800,0.0,0.0,0.0
