Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03 00:00:00-05:00,71.41794396813721,71.90195005703059,69.15924342282537,69.64324951171875,1291386,0.0,0.0
2000-01-04 00:00:00-05:00,69.64327155475391,70.39617379609803,69.10548502005254,69.9659423828125,1860008,0.0,0.0
2000-01-05 00:00:00-05:00,69.96589681485531,74.42951613558216,69.69700645453528,73.9992904663086,2598086,0.0,0.0
2000-01-06 00:00:00-05:00,73.99933658538342,74.32200740439065,72.97754383725687,73.03131866455078,3740907,0.0,0.0
2000-01-07 00:00:00-05:00,73.0313104690056,74.75222495313112,72.762419971278,72.81620025634766,3774199,0.0,0.0
2000-01-10 00:00:00-05:00,72.81620516851902,75.07490080047103,72.60108947753906,72.60108947753906,3192509,0.0,0.0
2000-01-11 00:00:00-05:00,72.60103028656748,72.70858531246344,70.55744654790028,72.1707992553711,1857345,0.0,0.0
2000-01-12 00:00:00-05:00,72.17086966669801,72.17086966669801,71.20285709780333,71.52552795410156,1559384,0.0,0.0
2000-01-13 00:00:00-05:00,71.52551597265877,71.57929626097011,69.96593678592583,70.23483276367188,1743987,0.0,0.0
2000-01-14 00:00:00-05:00,70.23480637052305,70.23480637052305,68.19121628455876,68.83656311035156,1563462,0.0,0.0
2000-01-18 00:00:00-05:00,68.83659935659699,69.37438592936081,67.06190421285753,67.11568450927734,2047774,0.0,0.0
2000-01-19 00:00:00-05:00,67.1156581090798,67.97611519427558,66.79298738510755,67.22321319580078,2075988,0.0,0.0
2000-01-20 00:00:00-05:00,65.44850736674677,65.44850736674677,62.38313055835918,63.243587493896484,4309363,0.0,0.0
2000-01-21 00:00:00-05:00,63.35115052196734,66.25519211085873,63.35115052196734,64.85694885253906,3056513,0.0,0.0
2000-01-24 00:00:00-05:00,64.85694697833216,65.71740392290927,62.598246815841186,63.1898078918457,1528173,0.0,0.0
2000-01-25 00:00:00-05:00,63.189844855360086,63.99652746914627,61.791606283341416,62.221832275390625,2096962,0.0,0.0
2000-01-26 00:00:00-05:00,62.22181169831942,62.59826273175048,60.93112868519562,61.25379943847656,2615730,0.0,0.0
2000-01-27 00:00:00-05:00,61.25380197472556,62.11425917370577,60.33956449336845,60.662235260009766,1883146,0.0,0.0
2000-01-28 00:00:00-05:00,60.66224180722943,62.06048558945969,59.53289400209534,59.80178451538086,2532834,0.0,0.0
2000-01-31 00:00:00-05:00,59.80179932493781,60.984927711247906,59.58668358275088,59.963134765625,1488972,0.0,0.0
2000-02-01 00:00:00-05:00,60.500899212919954,62.6520449186748,60.500899212919954,62.06047821044922,1855764,0.0,0.0
2000-02-02 00:00:00-05:00,62.27635100794234,65.24446218931949,61.790661283603995,64.38101196289062,2324178,0.300375,0.0
2000-02-03 00:00:00-05:00,64.38098142650513,64.38098142650513,61.628735477850086,62.38425064086914,1200583,0.0,0.0
2000-02-04 00:00:00-05:00,62.384250527791764,62.60011435232573,60.22562873089063,60.87321472167969,1227382,0.0,0.0
2000-02-07 00:00:00-05:00,60.87323749099198,61.14306874329161,58.82254409790039,58.82254409790039,2058677,0.0,0.0
2000-02-08 00:00:00-05:00,58.82253131828198,59.63201393368514,56.87976755850072,56.93373489379883,2836538,0.0,0.0
2000-02-09 00:00:00-05:00,56.93374988765911,57.63530350003829,55.63857187910711,55.80046844482422,4351644,0.0,0.0
2000-02-10 00:00:00-05:00,55.85442717821571,58.33684811335927,55.85442717821571,56.55598068237305,2251852,0.0,0.0
2000-02-11 00:00:00-05:00,57.257557716287494,59.36221909366143,57.257557716287494,58.444801330566406,2043612,0.0,0.0
2000-02-14 00:00:00-05:00,58.876489529195034,62.600114465794384,58.876489529195034,62.38425064086914,1718269,0.0,0.0
2000-02-15 00:00:00-05:00,62.38429546083273,64.0572344524094,62.00654034933167,63.78740310668945,2156055,0.0,0.0
2000-02-16 00:00:00-05:00,63.787372556281156,65.13651219027182,63.193753749076066,63.679443359375,2914274,0.0,0.0
2000-02-17 00:00:00-05:00,63.89530380629743,66.86340864863243,63.89530380629743,66.43168640136719,2335747,0.0,0.0
2000-02-18 00:00:00-05:00,66.43174210459671,66.48570948681188,64.86673736572266,64.86673736572266,4203496,0.0,0.0
