Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2008-04-01 00:00:00-04:00,33.40742761596361,33.702720642089844,33.40742761596361,33.702720642089844,1100,0.0,0.0,0.0
2008-04-02 00:00:00-04:00,34.02426692403499,34.14238415855652,34.02426692403499,34.03083038330078,2000,0.0,0.0,0.0
2008-04-03 00:00:00-04:00,34.19488096082756,34.35893239318369,34.19488096082756,34.33268356323242,1800,0.0,0.0,0.0
2008-04-04 00:00:00-04:00,37.76463154689886,37.76463154689886,34.29330334349207,34.41798400878906,1700,0.0,0.0,0.0
2008-04-07 00:00:00-04:00,34.26048976767601,34.588592529296875,33.34836449088609,34.588592529296875,800,0.0,0.0,0.0
2008-04-08 00:00:00-04:00,43.421137927720046,44.73354956832058,34.18176127957007,34.424556732177734,4500,0.0,0.0,0.0
2008-04-09 00:00:00-04:00,34.29987748946016,34.30643844604492,34.29987748946016,34.30643844604492,600,0.0,0.0,0.0
2008-04-10 00:00:00-04:00,36.74095562043767,36.74095562043767,33.912708354265284,34.10956954956055,15200,0.0,0.0,0.0
2008-04-11 00:00:00-04:00,33.9914530509321,34.70015637286094,33.78146743774414,33.78146743774414,8300,0.0,0.0,0.0
2008-04-14 00:00:00-04:00,32.83653201004008,33.76834285088086,31.327259484280162,33.55835723876953,8900,0.0,0.0,0.0
2008-04-15 00:00:00-04:00,34.372054291600534,34.372054291600534,33.85365120253589,33.89302444458008,1600,0.0,0.0,0.0
2008-04-16 00:00:00-04:00,34.752653805039415,35.69759162961871,34.752653805039415,34.8510856628418,13200,0.0,0.0,0.0
2008-04-17 00:00:00-04:00,34.66079474814781,34.81172180175781,34.66079474814781,34.81172180175781,3600,0.0,0.0,0.0
2008-04-18 00:00:00-04:00,34.90359688744007,35.19232913487091,34.90359688744007,35.113582611083984,3200,0.0,0.0,0.0
2008-04-21 00:00:00-04:00,35.46792136403246,35.46792136403246,35.15950635435962,35.40230178833008,4000,0.0,0.0,0.0
2008-04-22 00:00:00-04:00,35.38262219947854,35.38262219947854,35.02170944213867,35.02170944213867,1000,0.0,0.0,0.0
