Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-01-13 00:00:00-05:00,13.138381490667491,13.42519199146944,12.924798658016645,12.967514991760254,15536900,0.0,0.0
2011-01-14 00:00:00-05:00,12.91259234460141,13.089561325167058,12.91259234460141,13.004127502441406,1304800,0.0,0.0
2011-01-18 00:00:00-05:00,12.998030132331873,13.089566490224195,12.937007445647845,13.04074764251709,124800,0.0,0.0
2011-01-19 00:00:00-05:00,13.071255158251649,13.071255158251649,12.74172715977329,12.967514991760254,1010200,0.0,0.0
2011-01-20 00:00:00-05:00,12.8454680254937,13.059050869770696,12.833264189426082,12.943105697631836,736600,0.0,0.0
2011-01-21 00:00:00-05:00,12.998026326167746,12.998026326167746,12.833263490861368,12.967514991760254,636800,0.0,0.0
2011-01-24 00:00:00-05:00,12.936999430590042,13.052943394603664,12.875975617779893,12.998022079467773,354300,0.0,0.0
2011-01-25 00:00:00-05:00,12.93700092990076,13.101763730470909,12.906488437993284,12.979717254638672,295700,0.0,0.0
2011-01-26 00:00:00-05:00,12.991922251401661,13.034638576139573,12.943102264349701,12.979717254638672,346800,0.0,0.0
2011-01-27 00:00:00-05:00,12.937003109924857,13.059049606323242,12.937003109924857,13.059049606323242,450400,0.0,0.0
2011-01-28 00:00:00-05:00,12.973613252703164,13.046840896929409,12.973613252703164,12.998022079467773,475300,0.0,0.0
2011-01-31 00:00:00-05:00,12.998026575415246,13.05905040933321,12.967515240422674,12.991925239562988,197600,0.0,0.0
2011-02-01 00:00:00-05:00,12.979715750377421,13.059045892277922,12.94310076433188,12.998022079467773,560900,0.0,0.0
2011-02-02 00:00:00-05:00,12.906488908608457,12.967512730715992,12.851567585104934,12.882080078125,168300,0.0,0.0
2011-02-03 00:00:00-05:00,12.82716034983831,12.985821841476394,12.82716034983831,12.924798011779785,549400,0.0,0.0
2011-02-04 00:00:00-05:00,12.875980128643155,12.985822797396303,12.814956294454426,12.851570129394531,219600,0.0,0.0
2011-02-07 00:00:00-05:00,12.857672507695195,12.93700384057067,12.784444838507019,12.912593841552734,454900,0.0,0.0
2011-02-08 00:00:00-05:00,12.943103215458956,12.943103215458956,12.778340402781398,12.784442901611328,247100,0.0,0.0
2011-02-09 00:00:00-05:00,12.692906507058568,12.937001803062975,12.57696252178237,12.900386810302734,423900,0.0,0.0
2011-02-10 00:00:00-05:00,12.82105654322235,13.028536844676186,12.82105654322235,12.961410522460938,256000,0.0,0.0
2011-02-11 00:00:00-05:00,12.882079835065829,13.052945137023926,12.827158512598563,13.052945137023926,175600,0.0,0.0
2011-02-14 00:00:00-05:00,12.943102031027227,13.150582316527641,12.90648820533084,13.028535842895508,154900,0.0,0.0
2011-02-15 00:00:00-05:00,12.906487553325874,13.059046510608527,12.875976227442333,12.985818862915039,183800,0.0,0.0
2011-02-16 00:00:00-05:00,13.052943394603664,13.052943394603664,12.924794435241528,12.998022079467773,56200,0.0,0.0
2011-02-17 00:00:00-05:00,12.998024963792872,13.358064258941566,12.998024963792872,13.144482612609863,146600,0.0,0.0
2011-02-18 00:00:00-05:00,13.144477648557643,13.174988968244428,13.004122551774614,13.12617015838623,223300,0.0,0.0
2011-02-22 00:00:00-05:00,13.11397201936033,13.162790854735197,12.973618013149192,13.071255683898926,118100,0.0,0.0
2011-02-23 00:00:00-05:00,12.943102899878433,13.113969371152471,12.75393009649359,12.94920539855957,171700,0.0,0.0
2011-02-24 00:00:00-05:00,12.827156663202578,12.955305621194867,12.814951667984529,12.863770484924316,78400,0.0,0.0
2011-02-25 00:00:00-05:00,12.894285614056034,13.089562103372401,12.814955449593722,13.059049606323242,85900,0.0,0.0
2011-02-28 00:00:00-05:00,13.107862252481171,13.181091046912037,13.016327132391739,13.156681060791016,133100,0.0,0.0
2011-03-01 00:00:00-05:00,13.144485226798487,13.23602040256421,13.004130049095947,13.120075225830078,219400,0.0,0.0
2011-03-02 00:00:00-05:00,13.10786537051475,13.1322753624423,12.833259944924686,12.918692588806152,170400,0.0,0.0
2011-03-03 00:00:00-05:00,12.924794173492284,13.126171936934837,12.85156536681663,13.113966941833496,53700,0.0,0.0
2011-03-04 00:00:00-05:00,13.120071225615394,13.181095045497791,12.943102264349701,12.979717254638672,115700,0.0,0.0
2011-03-07 00:00:00-05:00,13.120070970961956,13.120070970961956,12.760031720969794,12.833260536193848,212400,0.0,0.0
