Model,OOF AUC
XGBoost,0.7875974123043329
LightGBM,0.7867435989297289
Ensemble,0.7865232668526014
CatBoost,0.7861174843118914
Random Forest,0.7598937282684144
Deep Learning NN,0.6252081476727932
Logistic Regression,0.49015452827825245
