feature,importance
BUR_AMT_CREDIT_MAX_OVERDUE_mean,0.009663957931197056
PRV_HOUR_APPR_PROCESS_START_min,0.009658771876215526
YEARS_BUILD_MODE,0.00964607580593194
OBS_30_CNT_SOCIAL_CIRCLE,0.009365748786666347
COMMONAREA_MODE,0.009281576224595123
PRV_AMT_APPLICATION_max,0.009082742151852405
PRV_DAYS_TERMINATION_mean,0.008897694464065688
WALLSMATERIAL_MODE,0.008647150091240893
BUR_AMT_CREDIT_SUM_DEBT_max,0.008575962704551281
PRV_AMT_CREDIT_mean,0.008436233136824357
PRV_DAYS_FIRST_DUE_mean,0.008002053673667476
POS_SK_DPD_mean,0.007928408770303734
PRV_COUNT,0.007894757365023188
OBS_60_CNT_SOCIAL_CIRCLE,0.007883453911666224
NONLIVINGAREA_AVG,0.00777012990400749
POS_COMPLETED_RATIO,0.007412183495066343
INS_AMT_PAYMENT_sum,0.007355341030943965
PRV_DAYS_FIRST_DUE_min,0.007329793286275968
LIVINGAPARTMENTS_MEDI,0.006982105419345445
POS_MONTHS_BALANCE_min,0.006945152927874958
CC_AMT_PAYMENT_CURRENT_max,0.006676912519056319
DEF_30_CNT_SOCIAL_CIRCLE,0.006669447979267582
POS_CNT_INSTALMENT_FUTURE_sum,0.006619555952840156
NAME_HOUSING_TYPE,0.006557055376545383
CC_AMT_DRAWINGS_CURRENT_sum,0.006543591123844536
INS_DAYS_ENTRY_PAYMENT_min,0.006446729435049448
PRV_DAYS_LAST_DUE_1ST_VERSION_min,0.006361680449152515
INS_DAYS_ENTRY_PAYMENT_max,0.006360434243686015
PRV_AMT_GOODS_PRICE_mean,0.00600718756706861
AMT_REQ_CREDIT_BUREAU_MON,0.005959130417721513
FONDKAPREMONT_MODE,0.005958520783689135
CC_UTILIZATION,0.005907281489418632
APARTMENTS_MODE,0.005615817422661004
TOTALAREA_MODE,0.005599355390336829
COMMONAREA_AVG,0.005597415567871612
ENTRANCES_MODE,0.005473954600012875
AMT_REQ_CREDIT_BUREAU_QRT,0.005339800726270397
POS_CNT_INSTALMENT_max,0.005259537779506434
BUR_COUNT,0.005233051172080295
CC_MONTHS_BALANCE_min,0.0048239766390632335
CC_AMT_INST_MIN_REGULARITY_mean,0.00479937762265414
PRV_AMT_ANNUITY_max,0.004724760262119877
PRV_DAYS_LAST_DUE_1ST_VERSION_max,0.004681576378951203
BASEMENTAREA_MODE,0.004672864566351281
NAME_TYPE_SUITE,0.004613050438233569
CC_MONTHS_BALANCE_size,0.0041942546763343155
LANDAREA_MODE,0.0039850228678399695
POS_CNT_INSTALMENT_FUTURE_min,0.0035564706265420703
INS_DAYS_INSTALMENT_max,0.0035225661492052102
CC_AMT_DRAWINGS_ATM_CURRENT_mean,0.0032253026451213615
FLAG_DOCUMENT_5,0.003038205332195341
INS_NUM_INSTALMENT_NUMBER_max,0.0029523908098466204
CC_AMT_PAYMENT_TOTAL_CURRENT_sum,0.0028854329119932486
POS_CNT_INSTALMENT_FUTURE_max,0.002824384378645036
FLAG_OWN_CAR,0.0027680719669412428
CC_CNT_DRAWINGS_CURRENT_mean,0.002753997780073603
BUR_AMT_CREDIT_SUM_LIMIT_sum,0.002635951420859769
REGION_RATING_CLIENT_W_CITY,0.002606853628529889
NONLIVINGAREA_MEDI,0.002557867714482103
PRV_DAYS_FIRST_DRAWING_mean,0.0024903883735475124
CC_PAYMENT_RATIO,0.0024524272076993678
APARTMENTS_MEDI,0.0024326743950416957
PRV_DAYS_TERMINATION_min,0.00241536174861789
CC_AMT_BALANCE_mean,0.002410279991902329
APARTMENTS_AVG,0.002314849634990681
CC_AMT_DRAWINGS_CURRENT_mean,0.0022974445108951114
BUR_TYP_Car loan,0.002290246782984004
CC_AMT_DRAWINGS_POS_CURRENT_sum,0.0022474379029248357
CC_CNT_DRAWINGS_ATM_CURRENT_sum,0.002245474481704544
BUR_AMT_ANNUITY_mean,0.0020504879144240514
CC_AMT_DRAWINGS_CURRENT_max,0.00201569002988193
AMT_REQ_CREDIT_BUREAU_YEAR,0.001923072292045702
FLOORSMAX_MEDI,0.0018950397410920955
FLAG_WORK_PHONE,0.0018948974678485433
PRV_DAYS_FIRST_DRAWING_min,0.0017850537326033074
FLOORSMAX_AVG,0.0017796965256601516
CC_AMT_PAYMENT_TOTAL_CURRENT_max,0.0017470868577590898
CC_CNT_DRAWINGS_ATM_CURRENT_mean,0.0016849337467745324
CC_AMT_CREDIT_LIMIT_ACTUAL_mean,0.0016416004974369282
POS_SK_DPD_DEF_mean,0.001575048084688023
CC_AMT_PAYMENT_CURRENT_sum,0.0015617593660824075
CC_AMT_INST_MIN_REGULARITY_max,0.0015156976383614662
LIVE_CITY_NOT_WORK_CITY,0.0014054644660564932
REG_CITY_NOT_WORK_CITY,0.0013947857479699717
NAME_INCOME_TYPE,0.0013890476166119703
YEARS_BEGINEXPLUATATION_MODE,0.0013594380270210513
LIVINGAPARTMENTS_MODE,0.0013153301797552528
POS_SK_DPD_sum,0.0012808274907464604
LIVINGAPARTMENTS_AVG,0.0011684881586399192
BASEMENTAREA_AVG,0.001000838356498549
LIVE_REGION_NOT_WORK_REGION,0.0009436323827973024
CC_AMT_DRAWINGS_POS_CURRENT_mean,0.0008319625687206085
CC_AMT_PAYMENT_TOTAL_CURRENT_mean,0.000674676294564435
YEARS_BEGINEXPLUATATION_MEDI,0.0006666985500078499
CC_AMT_PAYMENT_CURRENT_mean,0.000660201367657705
FLAG_OWN_REALTY,0.0006586658857755082
POS_SK_DPD_DEF_sum,0.0006049767322641356
YEARS_BUILD_AVG,0.00046688687936531094
REG_REGION_NOT_WORK_REGION,0.0004358525831448295
FLOORSMIN_AVG,0.00038042157289042394
CC_CNT_DRAWINGS_CURRENT_max,0.00037818976227674413
LIVINGAREA_MODE,0.0003344689626101995
LIVINGAREA_MEDI,0.00026109827851534
CC_CNT_INSTALMENT_MATURE_CUM_max,1.4736635975145306e-05
COMMONAREA_MEDI,1.422059414414427e-05
CC_AMT_BALANCE_max,1.197401472168891e-05
FLOORSMAX_MODE,9.34159247831688e-06
EMERGENCYSTATE_MODE,0.0
FLAG_DOCUMENT_6,0.0
FLAG_DOCUMENT_8,0.0
FLAG_DOCUMENT_9,0.0
BUR_TYP_Mortgage,0.0
BUR_ACT_Sold,0.0
BUR_TYP_Microloan,0.0
BUR_AMT_CREDIT_SUM_LIMIT_mean,0.0
BUR_CREDIT_DAY_OVERDUE_mean,0.0
BUR_CREDIT_DAY_OVERDUE_max,0.0
BUR_CNT_CREDIT_PROLONG_sum,0.0
AMT_REQ_CREDIT_BUREAU_DAY,0.0
FLAG_DOCUMENT_11,0.0
FLAG_DOCUMENT_13,0.0
FLAG_DOCUMENT_14,0.0
FLAG_DOCUMENT_15,0.0
FLAG_DOCUMENT_16,0.0
BUR_AMT_CREDIT_SUM_OVERDUE_max,0.0
BUR_AMT_CREDIT_SUM_OVERDUE_mean,0.0
ELEVATORS_AVG,0.0
AMT_REQ_CREDIT_BUREAU_WEEK,0.0
FLAG_DOCUMENT_18,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,0.0
ENTRANCES_MEDI,0.0
ELEVATORS_MODE,0.0
CNT_CHILDREN,0.0
FLOORSMIN_MODE,0.0
BASEMENTAREA_MEDI,0.0
FLOORSMIN_MEDI,0.0
YEARS_BUILD_MEDI,0.0
ELEVATORS_MEDI,0.0
PRV_RATE_INTEREST_PRIVILEGED_mean,0.0
PRV_AMT_GOODS_PRICE_max,0.0
PRV_RATE_INTEREST_PRIVILEGED_max,0.0
POS_SK_DPD_DEF_max,0.0
CC_AMT_CREDIT_LIMIT_ACTUAL_max,0.0
CC_AMT_DRAWINGS_OTHER_CURRENT_sum,0.0
CC_AMT_DRAWINGS_POS_CURRENT_max,0.0
CC_AMT_DRAWINGS_OTHER_CURRENT_mean,0.0
CC_AMT_DRAWINGS_OTHER_CURRENT_max,0.0
CC_AMT_DRAWINGS_ATM_CURRENT_max,0.0
POS_SK_DPD_max,0.0
CC_SK_DPD_DEF_mean,0.0
CC_SK_DPD_DEF_max,0.0
FLAG_EMP_PHONE,0.0
CC_SK_DPD_DEF_sum,0.0
CC_CNT_DRAWINGS_POS_CURRENT_max,0.0
CC_CNT_DRAWINGS_POS_CURRENT_sum,0.0
CC_AMT_TOTAL_RECEIVABLE_mean,0.0
CC_AMT_TOTAL_RECEIVABLE_max,0.0
CC_CNT_DRAWINGS_CURRENT_sum,0.0
CC_CNT_DRAWINGS_OTHER_CURRENT_max,0.0
CC_AMT_RECEIVABLE_PRINCIPAL_mean,0.0
CC_AMT_RECEIVABLE_PRINCIPAL_max,0.0
CC_AMT_RECIVABLE_mean,0.0
CC_AMT_RECIVABLE_max,0.0
CC_SK_DPD_sum,0.0
CC_SK_DPD_max,0.0
CC_CNT_INSTALMENT_MATURE_CUM_mean,0.0
CC_SK_DPD_mean,0.0
CC_CNT_DRAWINGS_POS_CURRENT_mean,0.0
CC_CNT_DRAWINGS_OTHER_CURRENT_sum,0.0
FLAG_EMAIL,0.0
REGION_RATING_CLIENT,0.0
REG_REGION_NOT_LIVE_REGION,0.0
FLAG_CONT_MOBILE,0.0
INS_NUM_INSTALMENT_NUMBER_min,0.0
NAME_CONTRACT_TYPE,0.0
